proteinID,description,modelnotes,defline
513659,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
513660,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
513665,GT2,,Glycosyltransferase Family 2 protein
513667,CE16,fragment N-term / C-term;,Carbohydrate Esterase Family 16 protein
513669,GT2,,Glycosyltransferase Family 2 protein
513728,DOC2-DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
514024,CBM18,,Carbohydrate-Binding Module Family 18 protein
514294,GH5_4-GH5_4-DOC2-DOC2,fragment N-term;,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
514448,GH43,,Glycoside Hydrolase Family 43 protein
514978,GH16,fragment N-term;,Glycoside Hydrolase Family 16 protein
515186,GT101,,Glycosyltransferase Family 101 protein
515189,GT2,,Glycosyltransferase Family 2 protein
515237,CBM48,,Carbohydrate-Binding Module Family 48 protein
515785,GH73,,Glycoside Hydrolase Family 73 protein
515821,CBM48,,Carbohydrate-Binding Module Family 48 protein
515861,DOC2-GH105,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 105 protein
515863,GH5_4,fragment N-term / C-term;,Glycoside Hydrolase Family 5 protein
515922,DOC2,,Non-Catalytic Module Family DOC2
516088,GH26,fragment N-term / C-term;,Glycoside Hydrolase Family 26 protein
516226,CBM18,,Carbohydrate-Binding Module Family 18 protein
516231,GT6,fragment N-term;,Glycosyltransferase Family 6 protein
516589,DOC2-DOC2,,Non-Catalytic Module Family DOC2
516594,DOC2-DOC2,,Non-Catalytic Module Family DOC2
516644,GT2,,Glycosyltransferase Family 2 protein
516646,CE16,,Carbohydrate Esterase Family 16 protein
516649,GT2,,Glycosyltransferase Family 2 protein
516650,GT2,,Glycosyltransferase Family 2 protein
516651,GT2,,Glycosyltransferase Family 2 protein
516653,GT2,,Glycosyltransferase Family 2 protein
516740,CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
517390,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
517403,EXPN-CBM63-DOC2,,Distantly related to plant expansins / Carbohydrate-Binding Module Family 63  / Non-Catalytic Module Family DOC2
517565,DOC2,,Non-Catalytic Module Family DOC2
517569,DOC2-DOC2,,Non-Catalytic Module Family DOC2
517641,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
517741,GT20,(fragment)  splicing problem;,Glycosyltransferase Family 20 protein
517882,GT2,,Glycosyltransferase Family 2 protein
517927,CBM18,,Carbohydrate-Binding Module Family 18 protein
518137,GT2,,Glycosyltransferase Family 2 protein
518140,GT2,(fragment)  splicing problem;,Glycosyltransferase Family 2 protein
518142,GT2,,Glycosyltransferase Family 2 protein
518420,GH2-CBM13-DOC2,,Glycoside Hydrolase Family 2  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
518439,GT17,,Glycosyltransferase Family 17 protein
518456,DOC2-DOC2-CBM1-GH45,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 45 protein
518459,GH13_14,,Glycoside Hydrolase Family 13 protein
518666,CBM18,,Carbohydrate-Binding Module Family 18 protein
518749,GH5_7,fragment C-term;,Glycoside Hydrolase Family 5 protein
518960,PL4_dist,fragment N-term;,Polysaccharide Lyase Family 4 protein
519032,CE16,fragment N-term;,Carbohydrate Esterase Family 16 protein
519278,CBM18,(fragment)  splicing problem;,Carbohydrate-Binding Module Family 18 protein
519770,GH5_5-CBM10-CBM10-GH5_5-CBM10-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10  / Non-Catalytic Module Family DOC2
519850,GT2,,Glycosyltransferase Family 2 protein
519866,DOC2-CBM18,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 18 protein
519913,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
519980,CBM18,,Carbohydrate-Binding Module Family 18 protein
520007,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
520010,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
521349,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
521350,CBM18,,Carbohydrate-Binding Module Family 18 protein
522200,GT2,,Glycosyltransferase Family 2 protein
522279,CE1,,Carbohydrate Esterase Family 1 protein
522596,PL1,fragment N-term;,Polysaccharide Lyase Family 1 protein
522633,GT2,,Glycosyltransferase Family 2 protein
522750,GH9-DOC2-DOC2-DOC2,fragment N-term;,Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
522892,CE1,,Carbohydrate Esterase Family 1 protein
523602,PL3_2,,Polysaccharide Lyase Family 3 protein
523941,GH31,,Glycoside Hydrolase Family 31 protein
524125,GH47,fragment N-term / C-term;,Glycoside Hydrolase Family 47 protein
524231,GT2,fragment N-term;,Glycosyltransferase Family 2 protein
524796,PL11_2,,Polysaccharide Lyase Family 11 protein
619207,EXPN,,Distantly related to plant expansins
619895,CBM1-CE12,fragment C-term;,Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
620485,DOC2,,Non-Catalytic Module Family DOC2
621541,DOC2,,Non-Catalytic Module Family DOC2
623545,GH6,fragment N-term / C-term;,Glycoside Hydrolase Family 6 protein
625708,DOC2-DOC2,fragment C-term;,Non-Catalytic Module Family DOC2
625725,DOC2-DOC2-DOC2-GH45,fragment C-term;,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
627259,CE12,,Carbohydrate Esterase Family 12 protein
627791,GH39-CBM13-DOC2,,Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
628035,GH5_7,fragment N-term;,Glycoside Hydrolase Family 5 protein
630767,PL4_dist,,Polysaccharide Lyase Family 4 protein
631278,GT8,,Glycosyltransferase Family 8 protein
633632,GH11-CBM1,,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
634962,GH3,,Glycoside Hydrolase Family 3 protein
634967,GH3,,Glycoside Hydrolase Family 3 protein
635331,DOC2,,Non-Catalytic Module Family DOC2
636557,CBM29,fragment N-term;,Carbohydrate-Binding Module Family 29 protein
637739,DOC2-DOC2,,Non-Catalytic Module Family DOC2
637747,CBM18,,Carbohydrate-Binding Module Family 18 protein
638131,GT2,,Glycosyltransferase Family 2 protein
638214,DOC2,,Non-Catalytic Module Family DOC2
638514,GH39-CBM13-DOC2,,Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
638740,PL4_dist,fragment N-term;,Polysaccharide Lyase Family 4 protein
638780,DOC2-DOC2,,Non-Catalytic Module Family DOC2
639286,DOC2,,Non-Catalytic Module Family DOC2
640049,CBM18,,Carbohydrate-Binding Module Family 18 protein
640812,GH3,,Glycoside Hydrolase Family 3 protein
641665,CBM18,,Carbohydrate-Binding Module Family 18 protein
641798,CBM26-CBM26,,Carbohydrate-Binding Module Family 26 protein
641903,CBM18,,Carbohydrate-Binding Module Family 18 protein
642238,GT34,,Glycosyltransferase Family 34 protein
642334,DOC2-GH6,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
642344,GH6,,Glycoside Hydrolase Family 6 protein
642372,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
642414,CBM18,,Carbohydrate-Binding Module Family 18 protein
643036,GT2,,Glycosyltransferase Family 2 protein
643472,CBM32,,Carbohydrate-Binding Module Family 32 protein
643804,CBM18,,Carbohydrate-Binding Module Family 18 protein
643810,CBM18,,Carbohydrate-Binding Module Family 18 protein
644118,CBM18,,Carbohydrate-Binding Module Family 18 protein
644333,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
644337,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
644339,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
644786,CE6-DOC2,,Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
645097,DOC2-DOC2,,Non-Catalytic Module Family DOC2
646397,DOC2-DOC2,,Non-Catalytic Module Family DOC2
647771,PL1,,Polysaccharide Lyase Family 1 protein
648199,GH3,,Glycoside Hydrolase Family 3 protein
660422,GH5_7,,Glycoside Hydrolase Family 5 protein
660806,GH5_7,,Glycoside Hydrolase Family 5 protein
661338,GT39,,Glycosyltransferase Family 39 protein
661411,GT35,(fragment)  splicing problem;,Glycosyltransferase Family 35 protein
661461,DOC2-DOC2,,Non-Catalytic Module Family DOC2
661602,GH1,,Glycoside Hydrolase Family 1 protein
661603,GH1,,Glycoside Hydrolase Family 1 protein
661660,PL3_2,,Polysaccharide Lyase Family 3 protein
661785,PL3_2,fragment C-term;,Polysaccharide Lyase Family 3 protein
661836,CE1-DOC2-DOC2,,Carbohydrate Esterase Family 1  / Non-Catalytic Module Family DOC2
661997,PL3_2,,Polysaccharide Lyase Family 3 protein
662213,GH5_4,,Glycoside Hydrolase Family 5 protein
662410,GH3,,Glycoside Hydrolase Family 3 protein
662412,GH3,,Glycoside Hydrolase Family 3 protein
662450,GH5_4,,Glycoside Hydrolase Family 5 protein
662455,DOC2-DOC2,,Non-Catalytic Module Family DOC2
662623,GH3,,Glycoside Hydrolase Family 3 protein
662688,DOC2-DOC2-DOC2-EXPN,,Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
662725,CBM35-GH26-DOC2-DOC2,,Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
662985,GT32,,Glycosyltransferase Family 32 protein
663240,DOC2-DOC2,,Non-Catalytic Module Family DOC2
663251,CBM18,,Carbohydrate-Binding Module Family 18 protein
663410,DOC2,,Non-Catalytic Module Family DOC2
663439,CE4,,Carbohydrate Esterase Family 4 protein
663453,GT4,,Glycosyltransferase Family 4 protein
663560,EXPN,,Distantly related to plant expansins
663665,GT71,,Glycosyltransferase Family 71 protein
663703,CBM52-GH16,,Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 16 protein
663752,CBM18-CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
663760,GH3,,Glycoside Hydrolase Family 3 protein
663761,GH3,,Glycoside Hydrolase Family 3 protein
663764,GH3,,Glycoside Hydrolase Family 3 protein
663765,GH3,,Glycoside Hydrolase Family 3 protein
663849,GT39,fragment C-term;,Glycosyltransferase Family 39 protein
663917,GH115,fragment C-term;,Glycoside Hydrolase Family 115 protein
663934,GH26-CBM10,,Glycoside Hydrolase Family 26  / Carbohydrate-Binding Module Family 10 protein
663951,EXPN,,Distantly related to plant expansins
664085,DOC2-DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
664124,PL4_dist,,Polysaccharide Lyase Family 4 protein
664125,PL4_dist,,Polysaccharide Lyase Family 4 protein
664128,PL4_dist,fragment N-term / C-term;,Polysaccharide Lyase Family 4 protein
664135,PL4_dist,fragment N-term;,Polysaccharide Lyase Family 4 protein
664137,PL4_dist,,Polysaccharide Lyase Family 4 protein
664168,CBM1,,Carbohydrate-Binding Module Family 1 protein
664193,GT2,(fragment)  splicing problem;,Glycosyltransferase Family 2 protein
664194,GT2,(fragment)  splicing problem;,Glycosyltransferase Family 2 protein
664195,GT2,,Glycosyltransferase Family 2 protein
664334,GH43-CBM6-CBM1,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Carbohydrate-Binding Module Family 1 protein
664567,CBM1-GH43,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 43 protein
664568,GH43,,Glycoside Hydrolase Family 43 protein
664595,GT3,,Glycosyltransferase Family 3 protein
664626,CBM18,,Carbohydrate-Binding Module Family 18 protein
664742,CE4,,Carbohydrate Esterase Family 4 protein
664791,DOC2-GH26-GH26,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 26 protein
664792,DOC2-GH26,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 26 protein
664805,GH115,,Glycoside Hydrolase Family 115 protein
664845,CE4,,Carbohydrate Esterase Family 4 protein
664870,CBM1,,Carbohydrate-Binding Module Family 1 protein
664887,CE1-CE1-CE1,,Carbohydrate Esterase Family 1 protein
664923,GT2,,Glycosyltransferase Family 2 protein
664976,EXPN,,Distantly related to plant expansins
665011,CBM52-GH64,,Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 64 protein
665012,CBM52-GH64,,Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 64 protein
665041,GT34,,Glycosyltransferase Family 34 protein
665113,CBM32,,Carbohydrate-Binding Module Family 32 protein
665122,CBM18,,Carbohydrate-Binding Module Family 18 protein
665261,GT2,,Glycosyltransferase Family 2 protein
665277,GH43-CBM6,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
665481,CBM21,,Carbohydrate-Binding Module Family 21 protein
665482,CBM21,,Carbohydrate-Binding Module Family 21 protein
665564,CE4,,Carbohydrate Esterase Family 4 protein
665568,CE4,,Carbohydrate Esterase Family 4 protein
665569,CE4,,Carbohydrate Esterase Family 4 protein
665571,CBM1-PL3_2,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
665763,CBM21,,Carbohydrate-Binding Module Family 21 protein
666197,DOC2-DOC2,,Non-Catalytic Module Family DOC2
666457,GH43-CBM6,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
666522,Myosin_motor-GT2,,Glycosyltransferase Family 2 protein
666729,GH43-CBM6,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
666763,GT71,,Glycosyltransferase Family 71 protein
666792,CE4,,Carbohydrate Esterase Family 4 protein
666793,CE4,,Carbohydrate Esterase Family 4 protein
666887,GH3,,Glycoside Hydrolase Family 3 protein
667022,PL1,,Polysaccharide Lyase Family 1 protein
667364,EXPN-CBM63,,Distantly related to plant expansins / Carbohydrate-Binding Module Family 63 protein
667368,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
667410,GH13_28-CBM26-CBM25,,Glycoside Hydrolase Family 13  / Carbohydrate-Binding Module Family 26  / Carbohydrate-Binding Module Family 25 protein
667442,GH48,,Glycoside Hydrolase Family 48 protein
667449,GH48,fragment N-term;,Glycoside Hydrolase Family 48 protein
667474,CBM10-CBM10,,Carbohydrate-Binding Module Family 10 protein
667481,GH48,fragment C-term;,Glycoside Hydrolase Family 48 protein
667490,CBM10-CBM10-CBM10,,Carbohydrate-Binding Module Family 10 protein
667699,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
667769,GT22,,Glycosyltransferase Family 22 protein
667808,DOC2-DOC2-DOC2-DOC2-DOC2-CBM1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
668001,GT2,(fragment)  splicing problem;,Glycosyltransferase Family 2 protein
668013,CBM18,,Carbohydrate-Binding Module Family 18 protein
668014,CBM18,,Carbohydrate-Binding Module Family 18 protein
668265,GT34,fragment N-term;,Glycosyltransferase Family 34 protein
668266,GH3,,Glycoside Hydrolase Family 3 protein
668267,GH3,,Glycoside Hydrolase Family 3 protein
668271,PL4_dist,,Polysaccharide Lyase Family 4 protein
668293,GT2,,Glycosyltransferase Family 2 protein
668330,DOC2-GH6,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
668351,CBM18,,Carbohydrate-Binding Module Family 18 protein
668555,CBM10,,Carbohydrate-Binding Module Family 10 protein
668729,GH9-DOC2-DOC2,,Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
668765,GT2,(fragment)  splicing problem;,Glycosyltransferase Family 2 protein
669071,GH115,,Glycoside Hydrolase Family 115 protein
669088,CE1,,Carbohydrate Esterase Family 1 protein
669095,DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
669097,DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
669098,DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
669189,GH115,,Glycoside Hydrolase Family 115 protein
669407,GT32,,Glycosyltransferase Family 32 protein
669503,PL1_6,,Polysaccharide Lyase Family 1 protein
669604,DOC2-DOC2,,Non-Catalytic Module Family DOC2
669608,CBM18,,Carbohydrate-Binding Module Family 18 protein
669624,DOC2-DOC2,,Non-Catalytic Module Family DOC2
669747,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
669750,DOC2-DOC2-GH95,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 95 protein
669924,GT2,,Glycosyltransferase Family 2 protein
670098,DOC2-DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
670116,CBM18-CE1,,Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 1 protein
670129,CE8-CBM1,,Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
670179,CE2-CE2,,Carbohydrate Esterase Family 2 protein
670195,CBM1-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
670202,CBM1-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
670219,CE16,,Carbohydrate Esterase Family 16 protein
670279,GT34,,Glycosyltransferase Family 34 protein
670294,GH32,,Glycoside Hydrolase Family 32 protein
670298,GH32,,Glycoside Hydrolase Family 32 protein
670366,DOC2-GH105,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 105 protein
670379,GT17,,Glycosyltransferase Family 17 protein
670488,GH28,,Glycoside Hydrolase Family 28 protein
670587,CBM18,,Carbohydrate-Binding Module Family 18 protein
670910,GT2,fragment N-term / C-term;,Glycosyltransferase Family 2 protein
670973,CBM32,,Carbohydrate-Binding Module Family 32 protein
671000,CE16,,Carbohydrate Esterase Family 16 protein
671160,PL3_2,,Polysaccharide Lyase Family 3 protein
671216,DOC2-DOC2,,Non-Catalytic Module Family DOC2
671238,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
671240,PL1,,Polysaccharide Lyase Family 1 protein
671272,GT101,,Glycosyltransferase Family 101 protein
671602,CE1,,Carbohydrate Esterase Family 1 protein
671608,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
671628,CBM1-GH6-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
671771,CBM18,,Carbohydrate-Binding Module Family 18 protein
671772,CBM18,,Carbohydrate-Binding Module Family 18 protein
671773,DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
671774,CBM18,,Carbohydrate-Binding Module Family 18 protein
671775,DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
671856,CBM1-GH43-CBM61,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 61 protein
671922,DOC2-DOC2-CBM13-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 13  / Carbohydrate Esterase Family 1 protein
672022,CBM52-GH64,,Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 64 protein
672023,CBM52-GH64,,Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 64 protein
672024,GT2,,Glycosyltransferase Family 2 protein
672034,DOC2-DOC2,(fragment)  splicing problem;,Non-Catalytic Module Family DOC2
672583,CBM1,,Carbohydrate-Binding Module Family 1 protein
672657,GT34,fragment C-term;,Glycosyltransferase Family 34 protein
672701,GT34,,Glycosyltransferase Family 34 protein
672835,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
673018,CBM26-GH31,,Carbohydrate-Binding Module Family 26  / Glycoside Hydrolase Family 31 protein
673021,DOC2-GH45,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
673053,GT17,,Glycosyltransferase Family 17 protein
673106,CE2-CE2,,Carbohydrate Esterase Family 2 protein
673107,PL3_2,,Polysaccharide Lyase Family 3 protein
673109,PL3_2,,Polysaccharide Lyase Family 3 protein
673110,PL3_2,,Polysaccharide Lyase Family 3 protein
673111,PL3_2,,Polysaccharide Lyase Family 3 protein
673115,PL3_2,,Polysaccharide Lyase Family 3 protein
673118,PL3_2,,Polysaccharide Lyase Family 3 protein
673120,PL3_2,,Polysaccharide Lyase Family 3 protein
673121,PL3_2,fragment N-term;,Polysaccharide Lyase Family 3 protein
673152,CBM10,,Carbohydrate-Binding Module Family 10 protein
673326,GT101,,Glycosyltransferase Family 101 protein
673432,CBM18-CBM18,fragment C-term;,Carbohydrate-Binding Module Family 18 protein
673436,DOC2-DOC2-GH45,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
673531,GT3,,Glycosyltransferase Family 3 protein
673563,CE16-DOC2,,Carbohydrate Esterase Family 16  / Non-Catalytic Module Family DOC2
673626,DOC2-DOC2-GH16,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 16 protein
673656,DOC2-DOC2,,Non-Catalytic Module Family DOC2
673658,GH48,,Glycoside Hydrolase Family 48 protein
673659,GH48,,Glycoside Hydrolase Family 48 protein
673746,GH10-GH10,,Glycoside Hydrolase Family 10 protein
673747,GH10-GH10,,Glycoside Hydrolase Family 10 protein
673749,GH10,,Glycoside Hydrolase Family 10 protein
673763,GH3,,Glycoside Hydrolase Family 3 protein
673892,GH43-CBM61,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 61 protein
673907,CBM26-CBM25,,Carbohydrate-Binding Module Family 26  / Carbohydrate-Binding Module Family 25 protein
673963,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
674067,CBM35-GH26,fragment C-term;,Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26 protein
674087,GH6,fragment N-term;,Glycoside Hydrolase Family 6 protein
674116,CE4,,Carbohydrate Esterase Family 4 protein
674153,CE8-CBM1,,Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
674157,CE4,fragment N-term;,Carbohydrate Esterase Family 4 protein
674158,CE4,fragment N-term;,Carbohydrate Esterase Family 4 protein
674165,GH43,,Glycoside Hydrolase Family 43 protein
674166,GH43,,Glycoside Hydrolase Family 43 protein
674183,EXPN-CBM63,,Distantly related to plant expansins / Carbohydrate-Binding Module Family 63 protein
674299,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
674305,GT4,,Glycosyltransferase Family 4 protein
674499,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
674515,CBM18-CBM18-CBM18-GH18,,Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18 protein
674727,GH16,fragment C-term;,Glycoside Hydrolase Family 16 protein
674756,GH3,,Glycoside Hydrolase Family 3 protein
674757,GH3,,Glycoside Hydrolase Family 3 protein
674769,GH39-CBM13,,Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13 protein
674770,GH39-CBM13,,Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13 protein
674771,CBM13-PL1-CBM13-CBM13,,Carbohydrate-Binding Module Family 13  / Polysaccharide Lyase Family 1 protein
674772,DOC2-DOC2-DOC2-GH5_1,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
674851,CE8,,Carbohydrate Esterase Family 8 protein
674864,CBM1-CE12,,Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
674869,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
674871,DOC2-DOC2,,Non-Catalytic Module Family DOC2
675020,CE8-CBM1,,Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
675021,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
675072,CBM18,,Carbohydrate-Binding Module Family 18 protein
675077,GH43,fragment N-term / C-term;,Glycoside Hydrolase Family 43 protein
675079,GH43,,Glycoside Hydrolase Family 43 protein
675080,GH43,fragment N-term;,Glycoside Hydrolase Family 43 protein
675096,CE4,,Carbohydrate Esterase Family 4 protein
675208,GT39,fragment C-term;,Glycosyltransferase Family 39 protein
675426,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
675463,CBM18,,Carbohydrate-Binding Module Family 18 protein
675582,GT2,,Glycosyltransferase Family 2 protein
675650,GH8-DOC2,,Glycoside Hydrolase Family 8  / Non-Catalytic Module Family DOC2
675674,CBM48,,Carbohydrate-Binding Module Family 48 protein
675680,GH3,,Glycoside Hydrolase Family 3 protein
675719,GH18,fragment C-term;,Glycoside Hydrolase Family 18 protein
675862,DOC2-DOC2,,Non-Catalytic Module Family DOC2
675911,CE4,,Carbohydrate Esterase Family 4 protein
675915,GH9,fragment N-term;,Glycoside Hydrolase Family 9 protein
675979,GH13_28,,Glycoside Hydrolase Family 13 protein
676032,GT3,,Glycosyltransferase Family 3 protein
676092,GH114,,Glycoside Hydrolase Family 114 protein
676212,GH3,fragment N-term / C-term;,Glycoside Hydrolase Family 3 protein
676437,DOC2-DOC2,,Non-Catalytic Module Family DOC2
676442,CBM13-DOC2,,Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
676501,CE4,,Carbohydrate Esterase Family 4 protein
676635,DOC2-DOC2,,Non-Catalytic Module Family DOC2
676636,DOC2-DOC2,,Non-Catalytic Module Family DOC2
676642,DOC2-DOC2,,Non-Catalytic Module Family DOC2
676684,CBM52-CBM52-GH16,,Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 16 protein
676703,DOC2-DOC2,,Non-Catalytic Module Family DOC2
676761,GT17,,Glycosyltransferase Family 17 protein
677086,GH5_7,,Glycoside Hydrolase Family 5 protein
677162,DOC2-DOC2,,Non-Catalytic Module Family DOC2
677307,DOC2,,Non-Catalytic Module Family DOC2
677308,DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
677356,CE16,,Carbohydrate Esterase Family 16 protein
677484,CBM1,,Carbohydrate-Binding Module Family 1 protein
677490,GT8,fragment N-term / C-term;,Glycosyltransferase Family 8 protein
677675,PL4_dist-CBM1-CE12,,Polysaccharide Lyase Family 4  / Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
677677,DOC2-DOC2-DOC2-CBM29,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 29 protein
677702,CBM1-PL3,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
677706,DOC2-DOC2-GH141,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 141 protein
677808,GH2-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 2  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
677809,GH2-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 2  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
677811,CBM13-DOC2,fragment N-term / C-term;,Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
677812,GH2,,Glycoside Hydrolase Family 2 protein
677813,GH2-CBM13-DOC2,,Glycoside Hydrolase Family 2  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
677944,GT2,,Glycosyltransferase Family 2 protein
678249,GH3,,Glycoside Hydrolase Family 3 protein
678250,GH3,,Glycoside Hydrolase Family 3 protein
678277,CBM13,fragment N-term;,Carbohydrate-Binding Module Family 13 protein
678545,DOC2-DOC2,,Non-Catalytic Module Family DOC2
678608,CBM52-CBM52-GH16,,Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 16 protein
